id,比赛时间,必发交易量,更新时间差_小时,必发更新时间
"2334705	2025-01-11 23:00:00	66994	2334705	8	2025-01-11 14:20:12",,,,
"2334705	2025-01-11 23:00:00	67380	2334705	8	2025-01-11 14:51:10",,,,
"2334705	2025-01-11 23:00:00	66492	2334705	9	2025-01-11 13:20:14",,,,
"2334705	2025-01-11 23:00:00	66521	2334705	9	2025-01-11 13:50:12",,,,
"2334705	2025-01-11 23:00:00	64638	2334705	10	2025-01-11 12:20:12",,,,
"2334705	2025-01-11 23:00:00	66021	2334705	10	2025-01-11 12:51:22",,,,
"2334705	2025-01-11 23:00:00	62928	2334705	11	2025-01-11 11:20:12",,,,
"2334705	2025-01-11 23:00:00	63464	2334705	11	2025-01-11 11:51:19",,,,
"2334705	2025-01-11 23:00:00	60953	2334705	12	2025-01-11 10:20:11",,,,
"2334705	2025-01-11 23:00:00	61887	2334705	12	2025-01-11 10:50:11",,,,
"2334705	2025-01-11 23:00:00	56830	2334705	13	2025-01-11 09:20:10",,,,
"2334705	2025-01-11 23:00:00	60695	2334705	13	2025-01-11 09:51:09",,,,
"2331824	2024-11-28 18:00:00	79703	2331824	0	2024-11-28 17:20:07",,,,
"2331824	2024-11-28 18:00:00	81427	2331824	0	2024-11-28 17:50:06",,,,
"2331824	2024-11-28 18:00:00	3454	2331824	1	2024-11-28 16:20:05",,,,
"2331824	2024-11-28 18:00:00	78243	2331824	1	2024-11-28 16:50:05",,,,
"2331824	2024-11-28 18:00:00	1817	2331824	2	2024-11-28 15:20:05",,,,
"2331824	2024-11-28 18:00:00	1848	2331824	2	2024-11-28 15:50:05",,,,
"2331824	2024-11-28 18:00:00	1690	2331824	3	2024-11-28 14:20:06",,,,
"2331824	2024-11-28 18:00:00	1790	2331824	3	2024-11-28 14:50:06",,,,
"2331824	2024-11-28 18:00:00	340	2331824	4	2024-11-28 13:20:05",,,,
"2331824	2024-11-28 18:00:00	340	2331824	4	2024-11-28 13:50:06",,,,
"2331824	2024-11-28 18:00:00	323	2331824	5	2024-11-28 12:20:06",,,,
